order,family,genus,species,model,GHMI_estimate,GHMI_se,GHMI_tval,GHMI_pval,adj_r2,dev_exp,dev_exp_diff_comp_null,sample_size,model_weight_comp_null,spatial_pval,delta_AIC
Lepidoptera,Nymphalidae,Dione,Dione vanillae,offset,5.257242165928101,9.313198047488772,0.5644937581184235,0.5738715502694995,0.22501529966039835,0.31935987375073227,0.013443806330659891,100,0.31319664311465584,0.026500470378015617,1.5704335413915942
Lepidoptera,Papilionidae,Battus,Battus philenor,duration,32.574545834773005,15.056519583171461,2.1634844397360786,0.03316651680782876,0.12888116497535873,0.19568963075388324,0.04388415987192762,98,0.845753829453801,0.21139939006941427,0
Lepidoptera,Papilionidae,Battus,Battus philenor,onset,15.027693468094483,16.2985346421633,0.922027274109586,0.35902870525307906,0.1277048100972925,0.20654393224550355,0.013660133687815545,98,0.36258945054065445,0.28978903293143277,1.128285497294769
Lepidoptera,Papilionidae,Battus,Battus philenor,offset,49.432439684139155,11.676064352763348,4.233655981215973,5.7128195984461643e-5,0.3493289070000828,0.4202084798231278,0.1820227569485694,98,0.9995344983575563,0.025918901436935926,0
Lepidoptera,Nymphalidae,Phyciodes,Phyciodes tharos,duration,17.00980567436796,20.374238785462904,0.8348682791773562,0.40600259224379487,0.3112905772220743,0.3335116773400706,0.005162755429806487,94,0.3199413112635967,0,1.508083049477932
Lepidoptera,Nymphalidae,Phyciodes,Phyciodes tharos,onset,22.465385126082975,21.094560595603983,1.0649847397515673,0.289731722852439,0.2310114240501815,0.2558242340296185,0.009376609913570477,94,0.3711132577981932,1.948365650816797e-6,1.0548877745824257
Lepidoptera,Nymphalidae,Phyciodes,Phyciodes tharos,offset,39.47522232912834,14.427419419483126,2.7361249563328056,0.007489321694046133,0.0687528511474591,0.09879989709561311,0.07494029046548158,94,0.933460192359903,0.6322561140978366,0
Lepidoptera,Nymphalidae,Junonia,Junonia coenia,duration,11.626014452174312,24.913600426250806,0.4666533240183256,0.6420007243319117,0.15203392174507047,0.18237274344085821,-2.69750998792867e-4,85,0.29354986405268224,3.646490813790093e-4,1.756410202507368
Lepidoptera,Nymphalidae,Junonia,Junonia coenia,onset,-6.199441772891373,24.788586111602317,-0.25009259281592183,0.8031493167262649,0.1984659381970585,0.22753221515618507,-0.0015858592850374054,85,0.274524991462509,4.0851350294413e-5,1.9435686482404435
Lepidoptera,Nymphalidae,Junonia,Junonia coenia,offset,5.323996830628404,11.832656751158108,0.44994095092865116,0.6539548795319501,-0.007533311358128625,0.028454642746780195,0.0024259161194189784,85,0.2643832900732172,0.37077651464884076,2.046618603925708
Lepidoptera,Lycaenidae,Elkalyce,Elkalyce comyntas,duration,0.4196747678575506,28.11840841605119,0.01492526752040426,0.9881423592585836,0.38032656208244053,0.4722443581122205,-8.377953387616044e-4,70,0.1965389673408764,6.762258934501775e-4,2.816135936545038
Lepidoptera,Lycaenidae,Elkalyce,Elkalyce comyntas,onset,-6.554538581499455,26.363639595258334,-0.24862039847784634,0.80449827822670406,0.32786369440863383,0.4119355154317659,6.882444383672914e-4,70,0.21276054351347398,0.0019079931443301001,2.616730285191011
Lepidoptera,Lycaenidae,Elkalyce,Elkalyce comyntas,offset,-0.8694451109869767,16.411182022799593,-0.05297882320597511,0.9579120130977027,0.022971733659050142,0.08381295904558922,6.277169347214812e-4,70,0.22816360969364,0.4070746731691962,2.4374192798429704
Lepidoptera,Hesperiidae,Hylephila,Hylephila phyleus,duration,8.449291319844743,21.036630705276643,0.4016466057810958,0.6893034569532004,0.28796563348321635,0.32036165002463945,0.001750705244941142,67,0.2526918099163336,6.417215401788301e-6,2.1686141337532945
Lepidoptera,Hesperiidae,Hylephila,Hylephila phyleus,onset,-52.780645963092915,22.35653495092652,-2.360859859497392,0.021339901176706363,0.3886282742210748,0.41644228757936375,-0.07884812045941914,67,0.9669111520605136,0,0
Lepidoptera,Hesperiidae,Hylephila,Hylephila phyleus,offset,-44.333237368679505,14.766128668184002,-3.0023602235163094,0.0038377774553526047,0.13455718887601398,0.17389823413359484,0.11820113398883961,67,0.9647872805116005,0.018672190921251386,0
Lepidoptera,Pieridae,Pieris,Pieris rapae,duration,45.18373000956706,31.10966287536291,1.4524017888136618,0.15143227954486782,0.132301750159466,0.17236365439670479,0.028152824615956973,66,0.48308150338282085,0.0189826429510786,0.13539966364976408
Lepidoptera,Pieridae,Pieris,Pieris rapae,onset,-6.47656323692745,28.547058978469053,-0.22687322157467238,0.8212687223907671,0.12691774345537177,0.16722309535993934,6.93678646682433e-4,66,0.24138093034053498,0.004785847797260212,2.2902469149271383
Lepidoptera,Pieridae,Pieris,Pieris rapae,offset,38.708126841423145,16.289498911213485,2.3762625880883887,0.020591785220183064,0.05411357237948944,0.0977931195576549,0.08218619604747468,66,0.8460008856105743,0.7472930629820342,0
Hymenoptera,Apidae,Bombus,Bombus griseocollis,duration,33.470854040903156,28.805609781580934,1.1619561014224842,0.24996011617221245,0.10322275161875494,0.16515273681146628,0.03225083311150964,64,0.29241870231926725,0.07049487170887037,1.7673316880964194
Hymenoptera,Apidae,Bombus,Bombus griseocollis,onset,-37.888469794138025,14.644234399172085,-2.5872619053598362,0.012251193255224325,0.43046899721426224,0.485042707748442,0.04502388902023585,64,0.8655890993964995,1.0390560069128973e-5,0
